Country/Region,Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region_x,Recovered_clean,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region_y,recovery_rate
Kosovo,2020-07-27,7413,185,4027,3201,496,16,274,Europe,4027,,,,,,,,,,,,,,,,0.5432348576824497
Kuwait,2020-07-27,64379,438,55057,8884,606,5,684,Eastern Mediterranean,55057,Asia,4276658.0,70045.0,,469.0,,61610.0,,7966.0,127.0,16378.0,110.0,522200.0,122105.0,EasternMediterranean,0.8552012302148216
Kyrgyzstan,2020-07-27,33296,1301,21205,10790,483,24,817,Europe,21205,Asia,6534479.0,38659.0,,1447.0,,30099.0,,7113.0,24.0,5916.0,221.0,267718.0,40970.0,Europe,0.6368632868813071
Laos,2020-07-27,20,0,19,1,0,0,0,Western Pacific,19,Asia,7285750.0,20.0,,,,19.0,,1.0,,3.0,,29374.0,4032.0,WesternPacific,0.95
Latvia,2020-07-27,1219,31,1045,143,0,0,0,Europe,1045,Europe,1883936.0,1275.0,,32.0,,1070.0,,173.0,,677.0,17.0,207909.0,110359.0,Europe,0.8572600492206727
Lebanon,2020-07-27,3882,51,1709,2122,132,0,17,Eastern Mediterranean,1709,Asia,6822220.0,5672.0,,70.0,,1974.0,,3628.0,46.0,831.0,10.0,345268.0,50609.0,EasternMediterranean,0.440236991241628
Lesotho,2020-07-27,505,12,128,365,0,0,0,Africa,128,Africa,2143943.0,742.0,,23.0,,175.0,,544.0,,346.0,11.0,8771.0,4091.0,Africa,0.25346534653465347
Liberia,2020-07-27,1167,72,646,449,5,0,5,Africa,646,Africa,5068618.0,1224.0,,78.0,,705.0,,441.0,,241.0,15.0,,,Africa,0.5535561268209083
Libya,2020-07-27,2827,64,577,2186,158,4,24,Eastern Mediterranean,577,Africa,6880353.0,4879.0,,107.0,,652.0,,4120.0,,709.0,16.0,59699.0,8677.0,EasternMediterranean,0.20410328970640254
Liechtenstein,2020-07-27,86,1,81,4,0,0,0,Europe,81,Europe,38139.0,89.0,,1.0,,85.0,,3.0,,2334.0,26.0,900.0,23598.0,Europe,0.9418604651162791
Lithuania,2020-07-27,2019,80,1620,319,11,0,4,Europe,1620,Europe,2718121.0,2171.0,,81.0,,1656.0,,434.0,6.0,799.0,30.0,540784.0,198955.0,Europe,0.8023774145616642
Luxembourg,2020-07-27,6321,112,4825,1384,49,0,178,Europe,4825,Europe,626952.0,7073.0,,119.0,,5750.0,,1204.0,9.0,11282.0,190.0,623994.0,995282.0,Europe,0.763328587248853
Madagascar,2020-07-27,9690,91,6260,3339,395,6,681,Africa,6260,Africa,27755708.0,12526.0,,134.0,,10148.0,,2244.0,88.0,451.0,5.0,46301.0,1668.0,Africa,0.6460268317853457
Malawi,2020-07-27,3664,99,1645,1920,24,0,6,Africa,1645,Africa,19174839.0,4491.0,,137.0,,2137.0,,2217.0,4.0,234.0,7.0,33466.0,1745.0,Africa,0.4489628820960699
Malaysia,2020-07-27,8904,124,8601,179,7,0,1,Western Pacific,8601,Asia,32406372.0,9038.0,,125.0,,8713.0,,200.0,2.0,279.0,4.0,991333.0,30591.0,WesternPacific,0.9659703504043127
Maldives,2020-07-27,3369,15,2547,807,67,0,19,South-East Asia,2547,Asia,541448.0,4680.0,,19.0,,2725.0,,1936.0,12.0,8643.0,35.0,85587.0,158071.0,South-EastAsia,0.7560106856634016
Mali,2020-07-27,2513,124,1913,476,3,1,2,Africa,1913,Africa,20302901.0,2552.0,,124.0,,1954.0,,474.0,,126.0,6.0,25152.0,1239.0,Africa,0.761241543971349
Malta,2020-07-27,701,9,665,27,1,0,0,Europe,665,Europe,441663.0,946.0,,9.0,,670.0,,267.0,,2142.0,20.0,136713.0,309541.0,Europe,0.948644793152639
Mauritania,2020-07-27,6208,156,4653,1399,37,0,223,Africa,4653,Africa,4660728.0,6444.0,,157.0,,5291.0,,996.0,3.0,1383.0,34.0,57387.0,12313.0,Africa,0.7495167525773195
Mauritius,2020-07-27,344,10,332,2,0,0,0,Africa,332,Africa,1271985.0,344.0,,10.0,,334.0,,0.0,,270.0,8.0,205285.0,161389.0,Africa,0.9651162790697675
Mexico,2020-07-27,395489,44022,303810,47657,4973,342,8588,Americas,303810,North America,129066160.0,462690.0,6590.0,50517.0,819.0,308848.0,4140.0,103325.0,3987.0,3585.0,391.0,1056915.0,8189.0,Americas,0.7681882429094109
Moldova,2020-07-27,23154,748,16154,6252,120,13,245,Europe,16154,Europe,4032983.0,26628.0,,828.0,,18676.0,,7124.0,362.0,6603.0,205.0,128076.0,31757.0,Europe,0.6976764273991535
Monaco,2020-07-27,116,4,104,8,0,0,0,Europe,104,Europe,39270.0,125.0,,4.0,,105.0,,16.0,2.0,3183.0,102.0,38209.0,972982.0,Europe,0.896551724137931
Mongolia,2020-07-27,289,0,222,67,1,0,4,Western Pacific,222,Asia,3283344.0,293.0,,,,260.0,,33.0,1.0,89.0,,38334.0,11675.0,WesternPacific,0.7681660899653979
Montenegro,2020-07-27,2893,45,809,2039,94,2,70,Europe,809,Europe,628074.0,3480.0,,60.0,,2178.0,,1242.0,,5541.0,96.0,38427.0,61182.0,Europe,0.27964051157967507
Morocco,2020-07-27,20887,316,16553,4018,609,3,115,Eastern Mediterranean,16553,Africa,36953359.0,29644.0,,449.0,,20553.0,,8642.0,31.0,802.0,12.0,1383816.0,37448.0,EasternMediterranean,0.7925025135251592
Mozambique,2020-07-27,1701,11,0,1690,32,0,0,Africa,0,Africa,31333962.0,2120.0,,15.0,,795.0,,1310.0,,68.0,0.5,65151.0,2079.0,Africa,0.0
Namibia,2020-07-27,1843,8,101,1734,68,0,26,Africa,101,Africa,2545264.0,2652.0,,15.0,,563.0,,2074.0,24.0,1042.0,6.0,29233.0,11485.0,Africa,0.05480195333695062
Nepal,2020-07-27,18752,48,13754,4950,139,3,626,South-East Asia,13754,Asia,29186486.0,21750.0,,65.0,,15389.0,,6296.0,,745.0,2.0,731977.0,25079.0,South-EastAsia,0.7334684300341296
